name,hits,action avg,action avg stddev,render avg,render avg stddev,db avg,db avg stddev,total avg,action,render,db,total
ConvsController#dashboard,5,2.08162,1.87839,0.74821,0.49300,1.39585,1.78841,4.22569,8.32649,2.99284,5.58341,16.90274
ConvsController#new,1,1.29255,0.00000,0.59627,0.00000,0.38708,0.00000,2.27590,1.29255,0.59627,0.38708,2.27590
ConvsController#show,2,0.98080,0.00000,0.91430,0.00000,0.03466,0.00000,1.92976,0.98080,0.91430,0.03466,1.92976
XmlController#feed,3,0.03542,0.04346,0.03150,0.04267,0.00094,0.00003,0.06786,0.10626,0.09450,0.00283,0.20359
DocController#show_tag_image,18,0.00129,0.00114,0.00004,0.00000,0.00367,0.01379,0.00499,0.02192,0.00062,0.06236,0.08490
ConvsController#index,13647,nan,nan,nan,nan,nan,nan,0.00000,0.00000,0.00000,0.00000,0.00000
ConvsController#create,1,nan,nan,nan,nan,nan,nan,0.00000,0.00000,0.00000,0.00000,0.00000
FederatedIdentityController#acs,2,nan,nan,nan,nan,nan,nan,0.00000,0.00000,0.00000,0.00000,0.00000
FederatedIdentityController#login,8,nan,nan,nan,nan,nan,nan,0.00000,0.00000,0.00000,0.00000,0.00000
Unit (GPU), which means paying more for a computer. But is this a bad thing?</p><p id=\"kalivo_match_low\">It started from a question by an AutoDesk Inventor user in the mcadforums on <a href=\"http://www.mcadforums.com/forums/files/autodesk_inventor_opengl_to_directx_evolution.pdf\">if OpenGL was supported on Vista or XP64bit (PDF)</a>. Then, <a href=\"https://forum.solidworks.com/forum/messageview.cfm?catid=134&amp;threadid=14541&amp;startpage=1&amp;CFID=8865188&amp;CFTOKEN=71477772\">Peter Yodis posted</a> a link to it in the SolidWorks Forums. Then, <a href=\"http://twitter.com/charlesculp\">Charles Culp</a> let everyone know about it on Twitter&#8230; THEN, Matt posted about <a href=\"http://dezignstuff.com/blog/?p=367\">SolidWorks and OpenGL</a> on his blog.</p><p id=\"kalivo_match_high\">It&#8217;s all made for some pretty interesting commentary on GPU technology and really shows how you can get involved in conversations about current technology very quickly with other SolidWorks users.</p><p id=\"kalivo_match_high\">That being said, here is the SolidSmack version in all of it&#8217;s regurgitated glory, but with a few extra spicy aspects to ponder. At the very least check out these key points and tell us what you think in the comments. <strong>Does SolidWorks need to switch to the DirectX3d API?</strong></p><p><strong>Some key points:</strong></p><ul><li> Direct3D is a Microsoft Windows API typically used for gaming.</li><li> OpenGL is an open standards API compatible with Windows, Linux and Mac typically used for high-end graphics.</li><li> OpenGL Graphics Processing Unit (GPU) cost more than DirectX3D gaming cards.</li><li> You can soft-mod most Direct3D gaming cards (nVidia GT series) to get OpenGL (nVidia FX series) functionality.</li><li>SolidWorks is currently only compatible with Microsoft Windows.</li></ul><p><strong>Comparison of OpenGL and Direct3D</strong></p><blockquote><p id=\"kalivo_match_high\"><em>In general, Direct3D is designed to be a 3D hardware interface. The feature set of Direct3D is derived from the feature set of what hardware provides. OpenGL, on the other hand, is designed to be a 3D rendering system that may be hardware accelerated. These two APIs are fundamentally designed under two separate modes of thought. The fact that the two APIs have become so similar in functionality shows how well hardware is converging into user functionality.</em></p><p><em>Even so, there are functional differences in how the two APIs work. Direct3D expects the application to manage hardware resources; OpenGL makes the implementation do it. This tradeoff for OpenGL decreases difficulty in developing for the API, while at the same time increasing the complexity of creating an implementation (or driver) that performs well. With Direct3D, the developer must manage hardware resources independently - however, the implementation is simpler, and developers have the flexibility to allocate resources in the most efficient way possible for their application.</em> - <sub><a href=\"http://en.wikipedia.org/wiki/Comparison_of_OpenGL_and_Direct3D\">Wikipedia: Comparison of OpenGL and Direct3D</a> </sub></p></blockquote><p id=\"kalivo_match_high\">In my opinion, side by side, I like the way OpenGL graphics look much better that the way Dierect3D graphics look. If SolidWorks was ever to be developed cross-platform for Mac, Linux and Windows, OpenGL would be the API to use. I don&#8217;t like paying more, which is why I&#8217;ve soft-modded some nVidia GT cards. If SolidWorks development decided to go with Direct3D, I doubt the software price would come down, even if there was less QA needed for the Direct3D compatibility. But we would be able to spend less on a GPU/computer.</p><p>&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;&#8212;<br />Highlights of <em>Autodesk Inventor OpenGL to DirectX Evolution</em> from <em>“Norbert”</em> - Autodesk Inventor Graphics Team</p><blockquote><p id=\"kalivo_match_high\">When we use OpenGL, we have found over the past many years (and still today) that we need to invest in a large, significant amount of QA&#8230; and use OpenGL almost on the level of 1997 graphics</p></blockquote><blockquote><p id=\"kalivo_match_high\">With Direct3D, our QA team can focus on testing our code and finding defects in our graphics code, instead of having to spend all their time just verifying that the graphics HW vendors have done their job correctly to produce an OpenGL graphics driver that actually works.</p></blockquote><blockquote><p>Direct3D works identically on x64 as on x86</p></blockquote><blockquote><p id=\"kalivo_match_high\">In &#8230;all defects that we see with the use of Direct3D&#8230;the problem is in our Inventor graphics layer code and the way we are using Direct3D in Inventor, not in the graphics HW vendor&#8217;s Direct3D graphics driver.</p></blockquote><blockquote><p id=\"kalivo_match_high\">when we use OpenGL, we never use the graphics HW for the rendering of any offscreen images&#8230;we are using the Direct3D graphics HW for all offscreen rendering.</p></blockquote><blockquote><p id=\"kalivo_match_high\">we have decided to focus on supporting Direct3D where we can focus the QA efforts on testing our own code and actually redirect some of the people currently spending all their time testing OpenGL graphics drivers to start testing our own graphics layer code</p></blockquote><blockquote><p id=\"kalivo_match_high\">we can add new graphics features and functionality because we know that we will have the QA resources available to test the new features &#8230; and we know that offscreen rendering will match onscreen rendering.</p></blockquote><blockquote><p id=\"kalivo_match_high\"><strong>where OpenGL graphics drivers actually disable some OpenGL functionality on consumer, game, laptop, and chipset HW so you are forced to purchase the more expensive workstation graphics HW, just so your OpenGL graphics works correctly.</strong> For example, if you are no longer required to spend $1000 to $2000 to simply have graphics HW that works, but can instead purchase a $100 to $350 game card &#8230; then you can take the $900 to $1650 you saved and spend it on other system aspects that might have a much more significant impact on your user experience with Inventor, such as having 8 GB of RAM instead of 4 GB,1,nan,nan,nan,nan,nan,nan,0.00000,0.00000,0.00000,0.00000,0.00000
